Sample Number,Site,fi best,mean fi,stdev fi,fs best,mean fs,stdev fs,fr best,mean fr,stdev fr,fi > 0.60
34,MH,0.47,0.39,0.14,0.48,0.37,0.22,0.05,0.24,0.14,
35,MH,0.47,0.45,0.14,0.33,0.34,0.21,0.19,0.21,0.12,
36,MH,0.3,0.37,0.13,0.59,0.38,0.23,0.11,0.25,0.14,
37,MH,0.36,0.28,0.13,0.49,0.41,0.24,0.15,0.31,0.16,
38,MH,0.21,0.29,0.13,0.7,0.4,0.24,0.09,0.31,0.16,
39,MH,0.34,0.32,0.14,0.26,0.39,0.24,0.4,0.28,0.15,
40,MH,0.34,0.35,0.14,0.61,0.38,0.23,0.04,0.27,0.15,
41,MH,0.22,0.24,0.12,0.01,0.42,0.24,0.77,0.34,0.17,
42,MH,0.05,0.3,0.13,0.95,0.4,0.24,0,0.3,0.16,
43,MH,0.31,0.32,0.13,0.36,0.4,0.24,0.34,0.29,0.15,
44,MH,0.46,0.46,0.13,0.41,0.34,0.21,0.13,0.2,0.12,
45,MH,0.38,0.2,0.12,0.07,0.4,0.24,0.55,0.39,0.18,
46,MH,0.34,0.34,0.13,0.19,0.4,0.23,0.48,0.26,0.15,
47,MH,0.47,0.32,0.13,0.3,0.39,0.24,0.23,0.28,0.15,
48,MH,0.49,0.33,0.14,0.15,0.39,0.24,0.35,0.28,0.15,
49,MH,0.23,0.41,0.14,0.43,0.36,0.23,0.34,0.23,0.13,
50,MH,0.18,0.17,0.11,0.4,0.38,0.23,0.42,0.44,0.18,
51,MH,0.36,0.19,0.11,0.15,0.41,0.24,0.49,0.4,0.18,
52,MH,0.15,0.16,0.1,0.76,0.37,0.23,0.09,0.47,0.18,
53,MH,0.1,0.1,0.07,0.27,0.26,0.19,0.63,0.65,0.17,
54,MH,0.13,0.17,0.11,0.55,0.4,0.24,0.31,0.43,0.19,
55,MH,0.15,0.18,0.11,0.39,0.39,0.24,0.46,0.44,0.18,
56,MH,0.24,0.26,0.13,0.21,0.42,0.24,0.56,0.32,0.17,
57,MH,0.33,0.35,0.14,0.63,0.39,0.23,0.04,0.27,0.15,
58,MH,0.66,0.44,0.13,0.08,0.34,0.21,0.26,0.22,0.13,X
59,MH,0.02,0.27,0.13,0.77,0.41,0.24,0.21,0.33,0.16,
60,MH,0.69,0.73,0.1,0.13,0.17,0.12,0.18,0.1,0.07,X
61,MH,0.7,0.61,0.12,0.04,0.25,0.16,0.26,0.14,0.09,X
62,MH,0.86,0.78,0.09,0.13,0.14,0.1,0.02,0.08,0.06,X
63,MH,0.73,0.78,0.09,0.2,0.14,0.1,0.07,0.08,0.06,X
64,MH,0.53,0.58,0.12,0.31,0.27,0.17,0.16,0.16,0.1,
65,MH,0.58,0.39,0.13,0.24,0.38,0.22,0.18,0.23,0.14,
66,MH,0.46,0.26,0.13,0.06,0.41,0.24,0.49,0.34,0.17,
67,MH,0.07,0.09,0.07,0.17,0.23,0.17,0.76,0.68,0.15,
68,MH,,,,,,,,,,
69,MH,0.18,0.11,0.08,0.01,0.3,0.21,0.8,0.59,0.18,
70,MH,0.01,0.05,0.04,0.15,0.08,0.07,0.83,0.87,0.07,
71,MH,0.51,0.5,0.13,0.42,0.31,0.2,0.07,0.19,0.11,
72,MH,0.26,0.31,0.13,0.54,0.4,0.24,0.2,0.29,0.15,
73,MH,0.23,0.12,0.09,0.09,0.31,0.21,0.69,0.57,0.18,
74,MH,0.72,0.63,0.12,0.02,0.24,0.16,0.25,0.14,0.09,X
75,MH,0.86,0.78,0.09,0.06,0.14,0.1,0.09,0.08,0.06,X
76,MH,,,,,,,,,,
77,MH,0.69,0.81,0.09,0.03,0.12,0.09,0.28,0.07,0.05,X
78,MH,0.75,0.8,0.09,0.05,0.13,0.1,0.2,0.07,0.06,X
79,MH,0.27,0.13,0.09,0.1,0.36,0.23,0.63,0.51,0.19,
80,MH,0.9,0.8,0.09,0.01,0.13,0.1,0.1,0.07,0.06,X
81,MH,0.6,0.58,0.12,0.25,0.27,0.17,0.15,0.16,0.1,X
82,MH,0.84,0.62,0.12,0.05,0.24,0.16,0.11,0.14,0.09,X
83,MH,0.88,0.92,0.05,0.1,0.05,0.05,0.02,0.03,0.03,X
84,MH,0.76,0.67,0.11,0.04,0.21,0.14,0.19,0.12,0.08,X
85,MH,0.87,0.83,0.08,0.05,0.11,0.08,0.08,0.06,0.05,X
86,MH,0.68,0.46,0.13,0.1,0.33,0.21,0.22,0.21,0.12,X
87,MH,0.06,0.04,0.04,0.14,0.08,0.06,0.8,0.88,0.07,
88,MH,0.29,0.13,0.09,0.04,0.36,0.23,0.67,0.51,0.19,
1,GNP,0.56,0.57,0.12,0.44,0.43,0.12,-,-,-,
2,GNP,0.12,0.08,0.06,0.88,0.92,0.06,-,-,-,
3,GNP,0.71,0.72,0.09,0.29,0.28,0.09,-,-,-,X
4,GNP,0.99,0.94,0.05,0.01,0.06,0.05,-,-,-,X
5,GNP,0.54,0.5,0.13,0.46,0.5,0.13,-,-,-,
6,GNP,0.94,0.9,0.07,0.06,0.1,0.07,-,-,-,X
7,GNP,0.58,0.46,0.13,0.42,0.54,0.13,-,-,-,
8,GNP,0.06,0.07,0.06,0.94,0.93,0.06,-,-,-,
9,GNP,0.55,0.51,0.13,0.45,0.49,0.13,-,-,-,
10,GNP,0.51,0.48,0.13,0.49,0.52,0.13,-,-,-,
11,GNP,0.47,0.43,0.13,0.53,0.57,0.13,-,-,-,
12,GNP,0.93,0.91,0.07,0.07,0.09,0.07,-,-,-,X
13,GNP,0.79,0.66,0.11,0.21,0.34,0.11,-,-,-,X
14,GNP,0.5,0.63,0.11,0.5,0.37,0.11,-,-,-,
15,GNP,0.76,0.68,0.1,0.24,0.32,0.1,-,-,-,X
16,GNP,0.84,0.7,0.1,0.16,0.3,0.1,-,-,-,X
17,GNP,0.58,0.62,0.11,0.42,0.38,0.11,-,-,-,
18,GNP,0.61,0.5,0.13,0.39,0.5,0.13,-,-,-,X
19,GNP,0.6,0.61,0.11,0.4,0.39,0.11,-,-,-,
20,GNP,0.66,0.54,0.12,0.34,0.46,0.12,-,-,-,X
21,GNP,0.4,0.32,0.13,0.6,0.68,0.13,-,-,-,
22,GNP,0.71,0.59,0.12,0.29,0.41,0.12,-,-,-,X
23,GNP,0.55,0.68,0.1,0.45,0.32,0.1,-,-,-,
24,GNP,0.1,0.05,0.04,0.9,0.95,0.04,-,-,-,
25,GNP,0.08,0.11,0.08,0.92,0.89,0.08,-,-,-,
26,GNP,1,0.96,0.04,0,0.04,0.04,-,-,-,X
27,GNP,0.39,0.37,0.13,0.61,0.63,0.13,-,-,-,
28,GNP,0.25,0.17,0.1,0.75,0.83,0.1,-,-,-,
29,GNP,0.5,0.55,0.12,0.5,0.45,0.12,-,-,-,
30,GNP,0.98,0.98,0.02,0.02,0.02,0.02,-,-,-,X
31,GNP,0.6,0.71,0.1,0.4,0.29,0.1,-,-,-,X
32,GNP,0.57,0.47,0.13,0.43,0.53,0.13,-,-,-,
33,GNP,0.22,0.34,0.14,0.78,0.66,0.14,-,-,-,
34,GNP,0.22,0.47,0.13,0.78,0.53,0.13,-,-,-,
35,GNP,0.19,0.14,0.09,0.81,0.86,0.09,-,-,-,
36,GNP,0.97,0.98,0.02,0.03,0.02,0.02,-,-,-,X
37,GNP,0.9,0.79,0.09,0.1,0.21,0.09,-,-,-,X
38,GNP,0.83,0.82,0.08,0.17,0.18,0.08,-,-,-,X
39,GNP,0.32,0.63,0.11,0.68,0.37,0.11,-,-,-,
40,GNP,0.92,0.87,0.07,0.08,0.13,0.07,-,-,-,X
41,GNP,0.24,0.51,0.13,0.76,0.49,0.13,-,-,-,
42,GNP,0.89,0.77,0.09,0.11,0.23,0.09,-,-,-,X
43,GNP,0.8,0.78,0.09,0.2,0.22,0.09,-,-,-,X
44,GNP,0.1,0.17,0.1,0.9,0.83,0.1,-,-,-,
