Sample Number,Site Name,NCBI Accession,NCBI Sample Name,NCBI Sample Title,Date (mm/dd/yy),Site,Sample Type,UTM Zone,UTM Easting (m),UTM Northing (m),Elevation m.a.s.l. (m)
7,Grinnell Lake,SAMN14814937,JM1748_Grinnell_Lake,16S rRNA sequencing of MH and GNP glacial microbial communities: JM1748_Grinnell_Lake,8/8/17,GNP,GL,12U,299699,5403591,1962
9,Hello Bear Spring,SAMN14814938,JM1729_Hello_Bear,16S rRNA sequencing of MH and GNP glacial microbial communities: JM1729_Hello_Bear,8/10/17,GNP,SP,12U,293656,5403651,1156
9,Hello Bear Spring,SAMN14814939,JM1746_Hello_Bear,16S rRNA sequencing of MH and GNP glacial microbial communities: JM1746_Hello_Bear,8/10/17,GNP,SP,12U,293656,5403651,1156
10,Hidden Pass Seep 2,SAMN14814940,JM176_Hidden_Pass_Seep_2,16S rRNA sequencing of MH and GNP glacial microbial communities: JM176_Hidden_Pass_Seep_2,8/6/17,GNP,SP,12U,298599,5396389,2167
12,Lunch Creek Spring,SAMN14814941,JM1714_Lunch_Creek,16S rRNA sequencing of MH and GNP glacial microbial communities: JM1714_Lunch_Creek,8/12/17,GNP,SP,12U,300955,5397505,1934
12,Lunch Creek Spring,SAMN14814942,JM1773_Lunch_Creek,16S rRNA sequencing of MH and GNP glacial microbial communities: JM1773_Lunch_Creek,8/12/17,GNP,SP,12U,300955,5397505,1934
13,McDonald Creek #1,SAMN14814943,JM1741_McDonald_Creek_1,16S rRNA sequencing of MH and GNP glacial microbial communities: JM1741_McDonald_Creek_1,8/10/17,GNP,ST,12U,292317,5403936,1146
15,Mineral Creek Tributary,SAMN14814944,JM1715_Mineral_Creek_Spring,16S rRNA sequencing of MH and GNP glacial microbial communities: JM1715_Mineral_Creek_Spring,8/10/17,GNP,ST,12U,292331,5403915,1144
15,Mineral Creek Tributary,SAMN14814945,JM1747_Mineral_Creek_Trib,16S rRNA sequencing of MH and GNP glacial microbial communities: JM1747_Mineral_Creek_Trib,8/10/17,GNP,ST,12U,292331,5403915,1144
16,Mountain Goat Spring,SAMN14814946,JM175_Mtn_Goat,16S rRNA sequencing of MH and GNP glacial microbial communities: JM175_Mtn_Goat,8/7/17,GNP,SP,12U,302002,5397695,2268
16,Mountain Goat Spring,SAMN14814947,JM1762_Mtn_Goat,16S rRNA sequencing of MH and GNP glacial microbial communities: JM1762_Mtn_Goat,8/7/17,GNP,SP,12U,302002,5397695,2268
17,Packer's Roost Spring,SAMN14814948,JM1721_Packers_Roost,16S rRNA sequencing of MH and GNP glacial microbial communities: JM1721_Packers_Roost,8/7/17,GNP,SP,12U,294663,5403355,1142
18,Piegan North Spring,SAMN14814949,JM177_Piegan_North,16S rRNA sequencing of MH and GNP glacial microbial communities: JM177_Piegan_North,8/11/17,GNP,SP,12U,301839,5399456,2389
18,Piegan North Spring,SAMN14814950,JM1782_Piegan_North,16S rRNA sequencing of MH and GNP glacial microbial communities: JM1782_Piegan_North,8/11/17,GNP,SP,12U,301839,5399456,2389
19,Reynolds 2 Spring,SAMN14814951,JM1754_Reynolds_2,16S rRNA sequencing of MH and GNP glacial microbial communities: JM1754_Reynolds_2,8/6/17,GNP,SP,12U,298863,5395704,2183
20,Rubideau Spring,SAMN14814952,JM1713_Rubideau,16S rRNA sequencing of MH and GNP glacial microbial communities: JM1713_Rubideau,8/12/17,GNP,SP,11U,719779,5377206,1183
22,Weeping Wall Spring,SAMN14814953,JM179_Weeping_Wall,16S rRNA sequencing of MH and GNP glacial microbial communities: JM179_Weeping_Wall,8/9/17,GNP,SP,12U,299301,5400839,1853
22,Weeping Wall Spring,SAMN14814954,JM1757_Weeping_Wall,16S rRNA sequencing of MH and GNP glacial microbial communities: JM1757_Weeping_Wall,8/9/17,GNP,SP,12U,299301,5400839,1853
