"","OTU","Sample","Abundance","sample_number","alt_sample_name","sample_name","date","ncbi_name_16s","ncbi_name_18s","bio_rep","fi_best","location","sample_type","latitude","longitude","elevation_m","ysi_temp","ysi_mmhg","ysi_do_percent","ysi_do","ysi_spc","ysi_conductivity","ysi_tds","ysi_ph","ysi_orp","alkalinity_caco3","anions","bicarbonate_hco3","bromide","calcium","carbonate_co3_alkalinity","cations","chloride","fluoride","hardness","iron","magnesium","nitrate_no3","nitrite_no2","orthophosphate","percent_difference","ph","potassium","silicon","sio2","sodium","spc","strontium","sulfate","tds","d2h","d2h_unc","d18o","d18o_unc","notes","dist_from_summit","aspect","bio_data","d13c..of.DIC.","quadrant","region","order","chemistry","geo_symbol","geo1","geo2","geo3","geo4","geo5","unit_notes","primary_source","Kingdom","Phylum","Class","Order"
"164","Burkholderiales","JM1723_Avalanche_Spring",0.215683663959526,1,"Avalanche Spring","Avalanche Spring","8/12/17","JM1723_Avalanche_Spring","",0,0.56,"Glacier National Park","Spring",48.67652814,-113.8104943,1107.64,7.6,676.2,69.3,8.31,103.3,69.1,66.95,7.63,152.8,56,1.15,68,0.001,14.2,0,1.05,0.067,0.008,NA,NA,3.98,0.405,0.011,0.045,-4.43,7.6,0.14,1.35,2.9,0.34,104,0.034,1.2,57,-126.7,0.22,-17.07,0.22,"Spring location given by fire chief again. This spring feeds avalanche camp grou a is a tributary to avalance creek. We took the The Trail of Cedars to get here, then exited to the left side a the foot bridge ",NA,"",1,-6.3,"","Outlier",89,1,"Qg","Till","---","Holocene and upper Pleistocene","Quaternary","upper Pleistocene","unit also locally includes small areas of bedrock and colluvium; on valley floors in mountainous areas, unit deposited by local mountain glaciers as ground moraine usually 1-3 m thick","Precipitation","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"473","Flavobacteriales","JM1727_Zigzag_Spring",0.215550525895353,40,"Zigzag Spring","Zigzag Spring","7/29/17","JM1727_Zigzag_Spring","JM1727_Zigzag_Spring",0,0.34,"Mount Hood","Spring",45.3457741,-121.7390436,1571.55,3.3,644.3,84.6,11.29,29.7,17.3,19.5,6.78,243.6,13,0.34,16,0.009,1.75,0,0.26,0.72,0.012,NA,NA,0.64,0.015,NA,0.036,-11.91,6.8,0.59,11.5,24.6,2.52,29,0.009,2.36,41,-86.3,NA,-12.38,0.1,"Discharge done 2 m from source where the stream channelized. Hiked to zigzag canyon. Back where it gets tighter the flow channelizes a bit more. There are many seeps in the walls of the canyon. Two larger seeps/spring pop out at higher elevation on the western wall. On the eastern wall there is exposed rock with water flowing from the fractures. There is a spring discharging above this from a good emergence. There are lots of flowers surrouing the emergence too. Small gnats a flies a dragonflies. Below this spring is a conceptual model of small scale scale model of what I think may be happening on a larger scale in some locations.",4575.8,"S",1,-17.2,"SW","Zigzag Region",40,1,"Qhpc","Pyroclastic flow and debris-flow deposits","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","intermediate composition lithologies","","Precipitation","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales"
"166","Burkholderiales","JM1711_Paradise_Park_Spring",0.209159898815071,36,"Paradise Park Spring 1","Paradise Park Spring","7/29/17","JM1711_Paradise_Park_Spring","JM1711_Paradise_Park_Spring",1,0.3,"Mount Hood","Spring",45.34165555,-121.738599,1582.22,2.8,643,84.5,11.42,19.4,11.2,12.35,6.46,206.8,10,0.25,12,0.012,1.11,0,0.17,0.397,0.128,NA,NA,0.27,0.013,0.012,0.056,-17.32,6.6,0.41,11.3,24.2,1.98,19,0.006,1.15,36,-88.3,0,-12.3,0.45,"This spring is within a small valley on the eastern side of zigzag canyon. At first it appeared that a nearby snowpackk was the driving factor providing flow, but when we went down we saw it is definitely a large spring. It emerges from beneath a tree a a rock with a huge amount of flow. Up valley is dry with no snow pack. The vegetation is sparse here. mall shrubs. No flowers here. ",4872.9,"S",1,NA,"SW","Zigzag Region",36,1,"Qhpc","Pyroclastic flow and debris-flow deposits","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","intermediate composition lithologies","","Precipitation","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"138","Burkholderiales","JM1766_James_Spring",0.203834376248168,28,"James Spring 2","James Spring","7/25/17","JM1766_James_Spring","JM1766_James_Spring",2,0.04,"Mount Hood","Spring",45.33993416,-121.9403534,547.73,10.7,725.9,87.3,9.67,23.9,17.4,15.6,6.91,221.2,12,0.29,14,0.011,1.54,0,0.21,1.56,0.006,NA,NA,0.34,0.011,0.01,0.039,-16.58,6.5,0.41,6.76,14.5,2.11,22,0.018,0.276,28,-68.9,NA,-9.9,0.11,"",19508.7,"S",1,NA,"SW","Outlier",28,1,"Trh","Rhododendron Formation","Late Western Cascade Volcanics","Rhododendron Formation","Miocene","mudflow breccia","","Precipitation","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"139","Burkholderiales","JM1728_Coe_Spring_B",0.193582745306882,23,"Coe Spring B","Coe Spring B","7/26/17","JM1728_Coe_Spring_B","JM1728_Coe_Spring_B",0,0.11,"Mount Hood","Spring",45.45241077,-121.6529396,939.39,7.4,694.1,86.8,10.3,60.1,39.7,39,6.89,251.7,34,0.72,42,0.023,5.66,0,0.62,0.989,0.141,NA,NA,1.19,0.042,0.012,0.049,-7.43,7.2,1.91,23.3,49.8,4.47,66,0.059,0.233,85,-81.3,0.04,-11.33,0,"Fou a spring just above the discharge center/structure. Small flow a possibly connect to the stream we prevously sampled. Comes from a hole a there are other holes arou where it looks like flow used to emerge from as well. Lots of thorny shrubs. Lots of down trees. Right alongside the Coe River",9385.2,"N",1,NA,"NE","Coe Region",23,1,"Qget","Till of Evans Creek age","Quaternary surficial deposits","Glacial deposits","Quaternary","mixed grained sediments","","Precipitation","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"167","Burkholderiales","JM1778_Paradise_Park_Spring",0.185993875649048,36,"Paradise Park Spring 3","Paradise Park Spring","7/29/17","JM1778_Paradise_Park_Spring","JM1778_Paradise_Park_Spring",3,0.3,"Mount Hood","Spring",45.34165555,-121.738599,1582.22,2.8,643,84.5,11.42,19.4,11.2,12.35,6.46,206.8,10,0.25,12,0.012,1.11,0,0.17,0.397,0.128,NA,NA,0.27,0.013,0.012,0.056,-17.32,6.6,0.41,11.3,24.2,1.98,19,0.006,1.15,36,-88.3,0,-12.3,0.45,"This spring is within a small valley on the eastern side of zigzag canyon. At first it appeared that a nearby snowpackk was the driving factor providing flow, but when we went down we saw it is definitely a large spring. It emerges from beneath a tree a a rock with a huge amount of flow. Up valley is dry with no snow pack. The vegetation is sparse here. mall shrubs. No flowers here. ",4872.9,"S",1,NA,"SW","Zigzag Region",36,1,"Qhpc","Pyroclastic flow and debris-flow deposits","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","intermediate composition lithologies","","Precipitation","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"155","Burkholderiales","JM1717_Buzzard_Fountain",0.184795633071494,19,"Buzzard Fountain 1","Buzzard Fountain Spring","7/26/17","JM1717_Buzzard_Fountain","JM1717_Buzzard_Fountain",1,0.5,"Mount Hood","Spring",45.27743485,-121.6933848,1245.41,8.5,668.5,81.6,9.53,31,21.2,20.15,6.98,183,28,0.59,34,0.001,2.73,0,0.33,0.712,0.007,NA,NA,0.7,0.048,0.012,0.117,-27.84,7,1.44,15,32.1,2.37,29,0.034,0.293,58,-83.9,NA,-12.04,0.04,"Lots of flow coming directly from fountain. It is piped through. Fills up a pool. Note on tree saying ""water not treated"". People came a drank from it anyway. Lots of moss growing. Filtered from the ""source"". It looks like the emergence used to be to the right, but then after the spring box was built the flow preferentially went there. That is where the rocks were taken from, the paleoemergence.",10689.6,"S",1,NA,"SE","Outlier",19,1,"Trbg","Rocks of Barlow Ridge and Gunsight Butte","Early High Cascade Volcanics","No data","Miocene","mixed lithologies","","Precipitation","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"106","Bacteria_unclassified","JM1749_Paradise_Park_Spring",0.182532285980562,36,"Paradise Park Spring 2","Paradise Park Spring","7/29/17","JM1749_Paradise_Park_Spring","",2,0.3,"Mount Hood","Spring",45.34165555,-121.738599,1582.22,2.8,643,84.5,11.42,19.4,11.2,12.35,6.46,206.8,10,0.25,12,0.012,1.11,0,0.17,0.397,0.128,NA,NA,0.27,0.013,0.012,0.056,-17.32,6.6,0.41,11.3,24.2,1.98,19,0.006,1.15,36,-88.3,0,-12.3,0.45,"This spring is within a small valley on the eastern side of zigzag canyon. At first it appeared that a nearby snowpackk was the driving factor providing flow, but when we went down we saw it is definitely a large spring. It emerges from beneath a tree a a rock with a huge amount of flow. Up valley is dry with no snow pack. The vegetation is sparse here. mall shrubs. No flowers here. ",4872.9,"S",1,NA,"SW","Zigzag Region",36,1,"Qhpc","Pyroclastic flow and debris-flow deposits","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","intermediate composition lithologies","","Precipitation","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"474","Flavobacteriales","JM1715_Mineral_Creek_Spring",0.176274796964452,15,"Mineral Creek Trib","Mineral Creek Tributary","8/10/17","JM1715_Mineral_Creek_Spring","JM1715_Mineral_Creek_Spring",1,0.76,"Glacier National Park","Stream",48.75358464,-113.8254748,1143.91,17.1,675.5,86,8.28,112.5,95.6,73.45,7.79,148.3,58,1.25,71,0.007,15.6,0,1.15,0.065,0.015,NA,NA,4.09,0.052,0.011,0.041,-4.37,7.8,0.18,1.44,3.08,0.65,115,0.027,4.21,64,-129.5,0.38,-17.3,0.12,"See notebook for notes. Page 84 of write in the rain.",NA,"",1,NA,"","Stream",103,1,"Qal","Stream","---","Holocene and upper Pleistocene","Quaternary","upper Pleistocene","includes channel and overbank deposits in modern floodplain; in narrow mountain valleys locally includes small areas of colluvium; thickness 1-5 m","Glacier Meltwater","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales"
"175","Burkholderiales","JM1726_Choss_Seep",0.168819065370789,22,"Choss Seep 1","Choss Seep","7/26/17","JM1726_Choss_Seep","JM1726_Choss_Seep",1,0.32,"Mount Hood","Spring",45.29518554,-121.7341202,1178.97,13.4,673.8,70.8,7.39,53.3,41.4,34.45,6.56,224.8,14,0.54,17,0.012,3.84,0,0.45,6.95,0.043,NA,NA,1.05,0.013,0.014,0.035,-8.72,6.8,0.57,6.65,14.2,3.64,53,0.047,2.83,42,-79.3,0.2,-11.44,0.15,"Side of road seeps coming from very chossy rock face, likely blown out by dynomite. Water is not coming from above. Moss growing from seeps, forming small channel alongside the road. The bedding of the outcrop is not parallel to the grou. We sampled from a seep that had the most consistent flow.",9212.9,"S",1,NA,"SW","Outlier",22,1,"Qha","Andesite and dacite lava","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","andesite","","Precipitation","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"171","Burkholderiales","JM1747_Mineral_Creek_Trib",0.166821994408201,15,"Mineral Creek Trib","Mineral Creek Tributary","8/10/17","JM1747_Mineral_Creek_Trib","",2,0.76,"Glacier National Park","Stream",48.75358464,-113.8254748,1143.91,17.1,675.5,86,8.28,112.5,95.6,73.45,7.79,148.3,58,1.25,71,0.007,15.6,0,1.15,0.065,0.015,NA,NA,4.09,0.052,0.011,0.041,-4.37,7.8,0.18,1.44,3.08,0.65,115,0.027,4.21,64,-129.5,0.38,-17.3,0.12,"See notebook for notes. Page 84 of write in the rain.",NA,"",1,NA,"","Stream",103,1,"Qal","Stream","---","Holocene and upper Pleistocene","Quaternary","upper Pleistocene","includes channel and overbank deposits in modern floodplain; in narrow mountain valleys locally includes small areas of colluvium; thickness 1-5 m","Glacier Meltwater","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"141","Burkholderiales","JM1741_McDonald_Creek_1",0.161895886033817,13,"McDonald Creek #1","McDonald Creek #1","8/10/17","JM1741_McDonald_Creek_1","JM1741_McDonald_Creek_1",0,0.79,"Glacier National Park","Stream",48.75376866,-113.8256756,1146.35,15.2,675.4,81.7,8.22,115.2,93.6,74.75,7.75,185.5,63,1.3,76,0.006,16.2,0,1.19,0.065,0.008,NA,NA,4.34,0.145,NA,0.027,-4.33,7.7,0.18,1.71,3.66,0.51,119,0.037,2.17,66,-129.1,0.06,-17.23,0.15,"Lots of little critters in these streams. Birds fling arou, butterflies, flies, etc. Saw a huge maybe stonefly in the stream coming in.",NA,"",1,NA,"","Stream",101,1,"Qal","Stream","---","Holocene and upper Pleistocene","Quaternary","upper Pleistocene","includes channel and overbank deposits in modern floodplain; in narrow mountain valleys locally includes small areas of colluvium; thickness 1-5 m","Glacier Meltwater","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"457","Flavobacteriales","JM1714_Lunch_Creek",0.155105844761017,12,"Lunch Creek Spring","Lunch Creek Spring","8/12/17","JM1714_Lunch_Creek","JM1714_Lunch_Creek",1,0.93,"Glacier National Park","Spring",48.69880031,-113.7051857,1933.65,5.5,613,80.5,10.15,138,86.8,89.7,7.36,248.7,77,1.57,94,0.002,23.4,0,1.43,0.051,0.016,NA,NA,3.06,0.175,0.013,0.037,-4.45,7.5,0.08,1.17,2.49,0.22,141,0.013,0.798,78,-135.3,0.36,-17.78,0.4,"Crack in wall where it emerges is karst in nature. Looks like it began as a fracture a over time caused a cavity out of the limstone. Algal mat at emergence a patches of mosses all over the wall. Flow is pretty high. Emergence is about 10 ft up on wall. Filter is very clean. Able to gravity pump. Really no sediment here. Bunch of flowers on drainage along side of the road but no flowers by emergence.",NA,"",1,-7.2,"","Piegan Region",100,1,"Yh","Helena Formation","Belt Supergroup","Middle Proterozoic","Middle Proterozoic","Middle Proterozoic","thickness ranges from 750 m in most of park to a maximum of about 1,030 m in southwestern part; generally subdivisible into three parts at most exposures in park","Glacier Meltwater","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales"
"333","Cyanobacteriales","JM1785_Choss_Seep",0.151511117028358,22,"Choss Seep 2","Choss Seep","7/26/17","JM1785_Choss_Seep","JM1785_Choss_Seep",2,0.32,"Mount Hood","Spring",45.29518554,-121.7341202,1178.97,13.4,673.8,70.8,7.39,53.3,41.4,34.45,6.56,224.8,14,0.54,17,0.012,3.84,0,0.45,6.95,0.043,NA,NA,1.05,0.013,0.014,0.035,-8.72,6.8,0.57,6.65,14.2,3.64,53,0.047,2.83,42,-79.3,0.2,-11.44,0.15,"Side of road seeps coming from very chossy rock face, likely blown out by dynomite. Water is not coming from above. Moss growing from seeps, forming small channel alongside the road. The bedding of the outcrop is not parallel to the grou. We sampled from a seep that had the most consistent flow.",9212.9,"S",1,NA,"SW","Outlier",22,1,"Qha","Andesite and dacite lava","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","andesite","","Precipitation","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales"
