sample_number,alt_sample_name,sample_name,date,ncbi_name_16s,ncbi_name_18s,bio_rep,fi_best,location,sample_type,latitude,longitude,elevation_m,ysi_temp,ysi_mmhg,ysi_do_percent,ysi_do,ysi_spc,ysi_conductivity,ysi_tds,ysi_ph,ysi_orp,alkalinity_caco3,anions,bicarbonate_hco3,bromide,calcium,carbonate_co3_alkalinity,cations,chloride,fluoride,hardness,iron,magnesium,nitrate_no3,nitrite_no2,orthophosphate,percent_difference,ph,potassium,silicon,sio2,sodium,spc,strontium,sulfate,tds,d2h,d2h_unc,d18o,d18o_unc,notes,dist_from_summit,aspect,bio_data,d13c (of DIC),quadrant,quadrant_ew,region,order,chemistry,geo_symbol,geo1,geo2,geo3,geo4,geo5,unit_notes
84,Tilly Jane Headwaters,Tilly Jane Headwaters,9/20/19,MtH11_C10_S260,MtH11_D08,0,0.76,MH,Spring,45.39310973,-121.6590125,1926.0312,6,606.1,69.4,6.86,35.2,22.4,,8.05,226.4,13,0.29,16,0.011,1.23,,0.15,,,3.99,,0.226,,,,-31.62,6.7,0.489,9.23,19.7,1.36,16,0.011,,32,-96.93,0.66,-13.181,0.149,Sampled headwaters of the main tilly jane stream. It is very close to Eliot Spring. The channel is lined by moss in the riperian zone a there are small pine trees in the emergence.,3618.4,,1,-15.5,NE,East,Eliot Region,84,1,Qhpc,Pyroclastic flow and debris-flow deposits,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,intermediate composition lithologies,
34,Rubideau Spring,Rubideau Spring,7/29/18,,,,0.22,GNP,Spring,48.50947611,-114.0241443,1182.62,6.4,683.8,83.9,10.34,319.6,205.4,208,7.36,116.3,,,,,,,,,,,,,,,,,,,,,,,,,,-125.22,0.24,-16.75,0.06,"Collected CFC, 1L, 250mL, isotope.",,,0,,,,Outlier,123,0,Qg,Till,---,Holocene and upper Pleistocene,Quaternary,upper Pleistocene,"unit also locally includes small areas of bedrock and colluvium; on valley floors in mountainous areas, unit deposited by local mountain glaciers as ground moraine usually 1-3 m thick"
42,Packers Roost Spring,Packers Roost Spring,7/30/18,,,,0.89,GNP,Spring,48.74932606,-113.7935068,1142.09,5.1,679.7,82.7,10.74,250.6,155.4,163.15,7.5,141,,,,,,,,,,,,,,,,,,,,,,,,,,-130.46,0.3,-17.62,0.07,"Emergence higher here than last year. This year there is a pool where there is a headcut/bowl shape. Water is upwelling from the rocks filling the base of this bowl. Pool drains out over some rocks/logs. It looks like it did flow at least another 6"" higher out of the pool a few weeks ago, based on old moss/algae that was matted down in the flowing direction.",,,0,,,,Packers Roost Region,131,0,Qc,Colluvium,---,Holocene and upper Pleistocene,Quaternary,upper Pleistocene,"unit locally includes small areas of till, talus, rock-avalanche, and debris-flow deposits; commonly 1-5 m thick"
30,Lunch Creek Spring,Lunch Creek Spring,7/26/18,,,,0.98,GNP,Spring,48.69880031,-113.7051857,1933.65,3.9,617.4,65.1,8.53,210.5,125.9,136.5,7.29,179.7,,,,,,,,,,,,,,,,,,,,,,,,,,-140.44,0.74,-18.75,0.1,"Spring emerges from crack that extes roughly 6 ft back. Tube was thrown to back of cave, a some air bubbles were present in samples.",,,0,,,,Piegan Region,119,0,Yh,Helena Formation,Belt Supergroup,Middle Proterozoic,Middle Proterozoic,Middle Proterozoic,"thickness ranges from 750 m in most of park to a maximum of about 1,030 m in southwestern part; generally subdivisible into three parts at most exposures in park"
40,Weeping Wall Spring,Weeping Wall Spring,7/29/18,,,,0.92,GNP,Spring,48.72822939,-113.7292596,1853.49,4.1,625.3,76.9,10,209.6,126.2,135.85,7.53,103.9,,,,,,,,,,,,,,,,,,,,,,,,,,-133.03,0.32,-17.83,0.08,"Collected bio, CFC, 1L, 250mL, isotope.",,,0,,,,Haystack Butte Region,129,0,Yh,Helena Formation,Belt Supergroup,Middle Proterozoic,Middle Proterozoic,Middle Proterozoic,"thickness ranges from 750 m in most of park to a maximum of about 1,030 m in southwestern part; generally subdivisible into three parts at most exposures in park"
12,Coe Stream,Coe Stream,10/9/16,JM1616_Coe_20,,1,0.26,MH,Stream,45.45346267,-121.6520705,911.35,7.8,691.9,87.1,10.35,27.5,18.5,18.2,6.6,321.4,14,0.41,17,,3.72,,0.39,,,13.6,0.694,1.05,,,,-3.24,6.7,0.728,,19.8,2.22,33,0.022,5.45,43,-84.38,0.406,-11.679,0.104,,9518.8,,1,,NE,East,Coe Region,12,1,Qget,Till of Evans Creek age,Quaternary surficial deposits,Glacial deposits,Quaternary,mixed grained sediments,
12,Coe Stream,Coe Stream,10/9/16,JM1626_Coe_45,,2,0.26,MH,Stream,45.45346267,-121.6520705,911.35,7.8,691.9,87.1,10.35,27.5,18.5,18.2,6.6,321.4,14,0.41,17,,3.72,,0.39,,,13.6,0.694,1.05,,,,-3.24,6.7,0.728,,19.8,2.22,33,0.022,5.45,43,-84.38,0.406,-11.679,0.104,,9518.8,,1,,NE,East,Coe Region,12,1,Qget,Till of Evans Creek age,Quaternary surficial deposits,Glacial deposits,Quaternary,mixed grained sediments,
31,Avalanche Spring,Avalanche Spring,7/30/18,,,,0.6,GNP,Spring,48.67652814,-113.8104943,1107.64,6.3,684.8,74.8,9.31,159,102.2,103.35,7.64,128.2,,,,,,,,,,,,,,,,,,,,,,,,,,-129.51,0.26,-17.43,0.05,YSI died on way out. Everything else looks the same. Seepage face along entire base of hill/slope replaced batteries a returned at 11:03AM for ySI readings,,,0,,,,Outlier,120,0,Qg,Till,---,Holocene and upper Pleistocene,Quaternary,upper Pleistocene,"unit also locally includes small areas of bedrock and colluvium; on valley floors in mountainous areas, unit deposited by local mountain glaciers as ground moraine usually 1-3 m thick"
85,Eliot Spring,Eliot Spring,9/20/19,MtH7_C05_S312,,0,0.87,MH,Spring,45.39368116,-121.6586157,1921.1544,2.9,607.5,96.8,10.45,27.5,15.9,,7.41,311,,,,,,,,,,,,,,,,,,,,,,,,,,-100.91,0.42,-13.879,0.142,"Everything looks the same at this spring with the exception of less vegetation. It looks like this spring is accessed by hikers, etc. The flowers a vegetation look stepped on. Emergence was the same, perhaps slightly less flow.",3681.5,,1,,NE,East,Eliot Region,85,0,Qhpc,Pyroclastic flow and debris-flow deposits,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,intermediate composition lithologies,
3,Eliot G Spring,Eliot Spring,10/8/16,JM1619_Eliot_Spring_20,,0,0.8,MH,Spring,45.39368116,-121.6586157,1921.1544,3.1,61.5,65.1,8.77,23.6,13.8,15.6,7.73,207.4,18,0.39,22,,2.37,,0.25,,,7.11,,0.293,,,,-20.89,6.7,0.968,,28.1,2.01,25,0.019,,46,-98.409119,0.3576712,-13.381789,0.1010659,,3681.5,N,1,,NE,East,Eliot Region,3,1,Qhpc,Pyroclastic flow and debris-flow deposits,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,intermediate composition lithologies,
13,Eliot G Lower Snowpack,Eliot Glacier Snowpack Algae,7/28/17,JM1780_Eliot_G_Snowpack_Algae,JM1780_Eliot_G._Snowpack_Algae,0,0.74,MH,Snow Algae,45.38978586,-121.6580436,1995.2208,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-97.6,,-13.75,0.1,When we visited Eliot moraine seeps we saw a snowpack that I believe contained snow algae. We hiked up today to get samples of it. It's completely separate from other snowpack. It's tucked away into a valley a is slowly infiltrating as it's melting. Maybe this signature will come up in Eliot Moraine Seep spring that we sampled.,3474.7,N,1,,NE,East,Snow Algae,13,0,Qhpc,Pyroclastic flow and debris-flow deposits,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,intermediate composition lithologies,
2,Eliot G Snow Algae,Eliot Glacier Snow Algae,10/9/16,JM1618_Algae_45,,1,0.09,MH,Snow Algae,45.38530257,-121.6710768,2128.4184,0,,,,,,,,,8,0.2,10,,0.801,,0.06,,,2.58,0.103,0.141,0.83,,,-52.48,5.6,0.178,,1.71,0.161,7,0.003,,10,-77.251643,0.2390584,-10.740106,0.05894412,,2345.7,N,1,,NE,East,Snow Algae,2,1,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
2,Eliot G Snow Algae,Eliot Glacier Snow Algae,10/9/16,JM1620_Algae_20,,2,0.09,MH,Snow Algae,45.38530257,-121.6710768,2128.4184,0,,,,,,,,,8,0.2,10,,0.801,,0.06,,,2.58,0.103,0.141,0.83,,,-52.48,5.6,0.178,,1.71,0.161,7,0.003,,10,-77.251643,0.2390584,-10.740106,0.05894412,,2345.7,N,1,,NE,East,Snow Algae,2,1,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
2,Eliot G Snow Algae,Eliot Glacier Snow Algae,10/9/16,JM1628_Algae_45,,3,0.09,MH,Snow Algae,45.38530257,-121.6710768,2128.4184,0,,,,,,,,,8,0.2,10,,0.801,,0.06,,,2.58,0.103,0.141,0.83,,,-52.48,5.6,0.178,,1.71,0.161,7,0.003,,10,-77.251643,0.2390584,-10.740106,0.05894412,,2345.7,N,1,,NE,East,Snow Algae,2,1,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
14,McDonald Creek #3,McDonald Creek #3,8/12/17,,,,0.5,GNP,Stream,48.73029126,-113.7627746,1152.14,10.7,678.7,77.3,8.66,122.4,88.9,79.3,7.61,252.9,68,1.42,83,0.004,18.6,0,1.3,0.071,0.016,,,4.22,0.096,0.014,,-4.23,7.7,0.16,1.52,3.26,0.49,124,0.027,2.52,71,-128.8,0.05,-17.12,0.13,"Collected another sample farther down stream in mcdonald creek in throught that contributions from other upstream tribs from glaciers would give a different signature/mixing profile. Collected isotopes, gen chem, h3, cl36, a strontium.",,,0,,,,Stream,102,1,Qg,Stream,---,Holocene and upper Pleistocene,Quaternary,upper Pleistocene,"unit also locally includes small areas of bedrock and colluvium; on valley floors in mountainous areas, unit deposited by local mountain glaciers as ground moraine usually 1-3 m thick"
25,Crystal Spring,Crystal Spring,7/28/17,,,,0.71,MH,Spring,45.4591705,-121.5851808,743.71,5.7,708.5,93,11.64,82.7,52.2,53.95,6.09,284.1,41,0.91,50,0.005,6.16,0,0.76,1.1,0.008,,,2.46,0.057,0.011,0.077,-9.3,7.3,1.32,16.7,35.6,4.92,78,0.053,2.71,80,-92.7,0.59,-12.73,0.11,At the source we sampled from it is untreated. Afterwards it is treated with chlorine. Flow is immense. There is a large stream composed of the water that they down take for drinking water a that is still significant.,12872,N,0,-12.5,NE,East,Eliot Region,25,1,Td,Dalles Formation,Dalles Group,Dalles Formation,Miocene,mixed lithologies,
2,Eliot G Snow Algae,Eliot Glacier Snow Algae,10/9/16,JM1621_Algae_20,,4,0.09,MH,Snow Algae,45.38530257,-121.6710768,2128.4184,0,,,,,,,,,8,0.2,10,,0.801,,0.06,,,2.58,0.103,0.141,0.83,,,-52.48,5.6,0.178,,1.71,0.161,7,0.003,,10,-77.251643,0.2390584,-10.740106,0.05894412,,2345.7,N,1,,NE,East,Snow Algae,2,1,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
17,Eliot Glacier Snowpack,Eliot Glacier Snowpack,7/22/17,JM1777_Eliot_G_Snowpack_Surface_Snow,JM1777_Eliot_G._Snowpack_Surface_Snow,0,0.36,MH,Snow,45.38978586,-121.6580436,1995.22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.4,,-12.07,,,3474.7,N,1,,NE,East,Snow,17,0,Qhpc,Pyroclastic flow and debris-flow deposits,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,intermediate composition lithologies,
37,Crack Spring,Grinnell Spring,7/27/18,,,,0.9,GNP,Spring,48.77017057,-113.7161256,1844.04,4.6,624.1,69.6,8.98,109,66.5,70.85,7.41,108.1,,,,,,,,,,,,,,,,,,,,,,,,,,-131.17,0.26,-17.63,0.08,Appeared the same last year.,,,0,,,,Grinnell Region,126,0,Ygl,Grinnell Formation,Belt Supergroup,Middle Proterozoic,Middle Proterozoic,Middle Proterozoic,thickness ranges from 530 to 790 m
8,Near Johns Mill Rd-B Spring,Johns Mill Spring,10/9/16,,,,0.58,MH,Spring,45.50060852,-121.481859,1157.6304,8.5,67.5,34.3,3.93,78.7,54.4,51.4,6.74,262.3,37,0.83,46,,6.9,,0.78,1.85,,24.3,0.053,1.72,0.22,,,-3.5,6.4,1.53,,24.7,5.79,75,0.096,1.14,67,-92.81252,0.5424044,-12.580643,0.05800844,,21908.9,N,0,,NE,East,Outlier,8,1,Td,Dalles Formation,Miocene,Dalles Group,Dalles Formation,mixed lithologies,
79,Eliot Terminus Center Snowpack,Eliot091919C - Snow,9/19/19,MtH14_D01_S266,MtH14_D11,0,0.27,MH,Snow,45.39357369,-121.6632686,1894.9416,,,,,,,,,,6,0.15,7,,0.17,,0.01,0.5,,0.471,,,,,,-82.63,5.9,0.065,0.378,0.81,0.076,3,0.001,,6,-80.24,0.65,-10.891,0.118,No YSI. Solid snow. Collected both surface (algae) snow a below. Looked like snowpack from the previous year.,3391.1,,1,,NE,East,Snow,79,1,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
81,Eliot Terminus Left Glacial Ice,Eliot091919E,9/19/19,MtH12_C11_S262,,0,0.6,MH,Glacial Melt,45.39365109,-121.6629602,1894.9416,,,,,,,,,,10,0.27,12,,0.248,,0.13,0.081,0.16,1.07,,0.108,,,0.88,-35.65,6.5,0.362,4.22,9.03,2.25,13,0.002,,20,-94.8,0.51,-12.865,0.139,Dirty glacial ice on the left side. Caelum was suspeed by rope to collect this sample.,3415,,1,,NE,East,Glacial Ice,81,1,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
83,Eliot Terminus Right Glacial Ice,Eliot091919G,9/19/19,MtH3_C01_S304,MtH4_D01,0,0.88,MH,Glacial Ice,45.39450054,-121.6640133,1898.5992,,,,,,,,,,6,0.15,8,,0.186,,0.02,0.081,,0.616,,,,,,-78.63,5.9,0.079,0.029,0.06,0.08,2,0.001,,5,-105.03,0.35,-14.468,0.122,There was exposed ice at the previous stream site. We are sampling here because this is a much cleaner sample of ice. There was a distinct debris layer on top of the glacier.,3416.4,,1,-24.9,NE,East,Glacial Ice,83,1,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
32,Near Tilly Jane Spring,Tilly Jane Spring 2,7/24/17,,,,0.57,MH,Spring,45.44380585,-121.5801432,820.52,5.5,701.2,84.5,10.62,63.4,39.8,40.95,6.49,241,32,0.74,39,0.006,5.52,0,0.65,1.4,0.015,,,1.7,0.056,0.009,0.049,-6.6,6.9,1.44,20,42.7,4.56,69,0.041,2.9,80,-96.1,0.33,-12.95,0.13,,11964.2,N,0,,NE,East,Eliot Region,32,1,Taef,Andesite of East Fork,Dalles Group,Deschutes Formation,Miocene/Pliocene,andesite,
14,Snowpack Upper Eliot Glacier,Eliot Glacier Fresh Snow Upper,7/22/17,JM1771_Eliot_Glacier_Fresh_Snow,JM1771_Eliot_Glacier_Fresh_Snow_,0,0.19,MH,Snow,45.38526896,-121.6697363,2123.85,0,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,-89.9,0.26,-12.53,0.06,"Hiked in from Cloud Cap Campgrou. Trail was washed out. Took moraine trail in. The moraine was very recently scoured from the recent snow. The moaine was missing Jeff a my trail. We tried to collect glacier ice from where I get snow algae normally but there was so much snow pack. We looked into a crevasse that went down ~4ft a it was all snow. The whole glacier is covered in snow but there are many crevasses present. We could hear a channel of water uer the snow pack. It's loud. The waterfall was gone too. Bees, flies, hummingbirds, skiers present.",2431.8,N,1,,NE,East,Snow,14,0,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
6,Marty 4 (eliot spring),Eliot Spring,7/31/16,,,,0.67,MH,Spring,45.39368116,-121.6586157,1921.1544,4,,,9.85,37.24137931,21.6,,6.65,,12,0.28,15,,1.5,,0.15,,,4.48,,0.182,,,,-29.69,7.1,0.543,,28,1.11,16,0.012,,40,-101.639989,0.5053913,-13.101688,0.1121029,"Eliot glacier. Spring originated from beneath a rock. No sign of spring above, but there was a spring to the immediate left of this spring. I assume they share the same internal source. There was another spring that was mapped a it was a bit farther to the left of these two a it's source looked like a seep which was covered with moss. I was not sure how to sample it, so I sampled the one lower on the mountain. ",3681.5,N,0,,NE,East,Eliot Region,6,1,Qhpc,Pyroclastic flow and debris-flow deposits,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,intermediate composition lithologies,
84,Tilly Jane Headwaters,Tilly Jane Headwaters,9/20/19,,MtH13_D10,1,0.76,MH,Spring,45.39310973,-121.6590125,1926.0312,6,606.1,69.4,6.86,35.2,22.4,,8.05,226.4,13,0.29,16,0.011,1.23,,0.15,,,3.99,,0.226,,,,-31.62,6.7,0.489,9.23,19.7,1.36,16,0.011,,32,-96.93,0.66,-13.181,0.149,Sampled headwaters of the main tilly jane stream. It is very close to Eliot Spring. The channel is lined by moss in the riperian zone a there are small pine trees in the emergence.,3618.4,,1,-15.5,NE,East,Eliot Region,84,1,Qhpc,Pyroclastic flow and debris-flow deposits,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,intermediate composition lithologies,
27,Eliot Spring,Eliot Spring,7/22/17,,,,0.78,MH,Spring,45.39368116,-121.6586157,1921.15,2.8,620.8,81.6,11.05,21,12.1,13.65,7.41,244.7,13,0.28,16,0.01,1.92,0,0.21,0.185,0.007,,,0.24,0.01,0.012,0.044,-13.97,6.7,0.8,10.3,22,1.67,21,0.017,0.16,35,-101.3,0.36,-13.98,0.39,Zach did 10mg of salt for the meter in the 500 mL bottle.,3681.5,N,0,-20.1,NE,East,Eliot Region,27,1,Qhpc,Pyroclastic flow and debris-flow deposits,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,intermediate composition lithologies,
5,Marty 3 (eliot glacier subglacial melt),Eliot Glacier Subglacial Melt,7/31/16,,,,0.64,MH,Glacial Melt,45.38558258,-121.6711597,2118.9696,1.1,,,11.41,13.08429119,6.83,,5.54,,6,0.19,8,,0.763,,0.05,0.081,,2.4,0.061,0.121,,,,-55.8,5.6,,,0.51,0.091,8,0.002,1.91,8,-99.903686,0.6973666,-12.850981,0.2626846,Subglacial stream on Eliot glacier. Brown colored water from clay like sediment on glacier upstream,2357.7,N,0,,NE,East,Glacial Ice,5,1,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
68,Base of Cloud Cap Road Precipitation,Base of Cloud Cap Road Precipitation,9/17/19,,,,0,MH,Rain,45.41855989,-121.5709729,883.3104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.74,0.38,-8.387,0.056,"Put out 2 funnel a pitcher precip collectors in the morning on 9/17/19. Left them there until 9/19/19 at 8:14am. Collector 1: 200mL, Collector 2: 210mL.",10991.3,,0,,NE,East,Rain,68,0,Taef,Andesite of East Fork,Dalles Group,Deschutes Formation,Miocene/Pliocene,andesite,
69,Cloud Cap Saddle Campground Precipitation,Cloud Cap Saddle Campground Precipitation,9/17/19,,,,0.18,MH,Rain,45.40454155,-121.6536691,1781.2512,,,,,,,,,,6,0.15,7,,0.185,,0.02,,,0.62,,,,,,-72.2,5.8,0.24,0.018,,0.141,5,0.001,,6,-77.67,0.8,-10.628,0.079,"Put out 3 funnnel a pitcher precip collectors the morning of 9/17/19. Left them there until 9am on 9/19/19. Collector 1: 384mL, Collector 2: 360mL, Collector 3: 370mL",4776.5,,0,,NE,East,Rain,69,1,Qbac,Basaltic andesite of Cloud Cap,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,basaltic andesite,
86,Cooper Spur Snowpack,Cooper Spur Snowpack,9/20/19,,,,0.68,MH,Snow,45.3802541,-121.6719614,2383.2312,,,,,,,,,,6,0.14,7,,0.117,,0.01,0.5,,0.32,,,0.14,,,-85.83,5.8,,,,0.066,2,,,5,-89.88,0.46,-12.695,0.058,Hiked up Cooper Spur trail to get some fresh snow.,2022.9,,0,,NE,East,Snow,86,1,Qhpc,Pyroclastic flow and debris-flow deposits,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,intermediate composition lithologies,
