Location,Env_Variable_TableS1,Env_Variable,Rep,Rsquared,RSME,MAE,Ct <5 Unique Values,Truncated_Grid,Notes
Mount Hood,tds,TDS,3,0.378149767,17.70839968,14.24573022,>=50,,
Mount Hood,fi_best,fi,1,0.181855487,0.197113149,0.160793936,39,,
Mount Hood,fi_best,fi,2,0.101571166,0.191995451,0.154848834,29,,
Mount Hood,fi_best,fi,3,0.021857998,0.184723028,0.145015379,27,,
Glacier National Park,elevation_m,Elevation,1,0.071577883,534.0315334,463.1743934,>=50,,
Glacier National Park,elevation_m,Elevation,2,0.073814424,536.7615381,472.0676322,>=50,,
Glacier National Park,elevation_m,Elevation,3,0.127203559,542.6363218,469.5569762,>=50,,
Glacier National Park,ysi_temp,Temp,1,0.240014249,6.400415375,4.755215341,>=50,,
Glacier National Park,ysi_temp,Temp,2,0.109459278,6.319276725,4.832854294,>=50,,
Glacier National Park,ysi_temp,Temp,3,0.082032241,6.267108796,4.873923992,>=50,,
Glacier National Park,ysi_do,DO,1,0.153275874,1.256067189,0.941552255,>=50,,
Glacier National Park,ysi_do,DO,2,0.234900262,1.419913044,1.116530889,>=50,,
Glacier National Park,ysi_do,DO,3,0.206906924,1.334971793,0.984339337,>=50,,
Glacier National Park,ysi_spc,SPC,1,0.114445636,79.47683812,69.29587902,>=50,,
Glacier National Park,ysi_spc,SPC,2,0.092943681,79.20809405,68.04294649,>=50,,
Glacier National Park,ysi_spc,SPC,3,0.14174273,77.13427542,67.04343928,>=50,,
Glacier National Park,ysi_ph,pH,1,0.102654959,0.198413116,0.163865818,>=50,,
Glacier National Park,ysi_ph,pH,2,0.291915893,0.18006989,0.152994283,>=50,,
Glacier National Park,ysi_ph,pH,3,0.083028734,0.201221822,0.173136529,>=50,,
Glacier National Park,ysi_orp,ORP,1,0.023603515,46.09715609,40.17735992,>=50,X,"note: only 1 unique complexity parameters in default grid. Truncating the grid to 1 . (Fold 2, 7, 10)"
Glacier National Park,ysi_orp,ORP,2,0.564929916,35.41124778,31.77293704,>=50,X,note: only 1 unique complexity parameters in default grid. Truncating the grid to 1 . (Fold 2)
Glacier National Park,ysi_orp,ORP,3,0.313667423,38.76812618,33.49761873,>=50,X,"note: only 1 unique complexity parameters in default grid. Truncating the grid to 1 . (Fold 2, 7, 10)"
Glacier National Park,alkalinity_caco3,CaCO3,1,0.14823111,40.09376193,34.04729325,>=50,,
Glacier National Park,alkalinity_caco3,CaCO3,2,0.183461273,40.6408463,34.42954175,>=50,,
Glacier National Park,alkalinity_caco3,CaCO3,3,0.134262893,39.99324885,34.06416079,>=50,,
Glacier National Park,bicarbonate_hco3,HCO3,1,0.168978786,48.83132187,41.91529913,>=50,,
Glacier National Park,bicarbonate_hco3,HCO3,2,0.141493959,48.97995458,41.05822357,>=50,,
Glacier National Park,bicarbonate_hco3,HCO3,3,0.022418958,45.82650194,39.53621897,>=50,,
Glacier National Park,calcium,Ca,1,0.003764909,10.31114886,9.022074649,>=50,,
Glacier National Park,calcium,Ca,2,0.019183128,11.03974264,9.689222522,>=50,,
Glacier National Park,calcium,Ca,3,0.105532702,11.36735237,9.753652382,>=50,,
Glacier National Park,chloride,Cl,1,8.00E-04,2.10E-02,1.61E-02,>=50,X,note: only 2 unique complexity parameters in default grid. Truncating the grid to 2 . (Fold 5)
Glacier National Park,chloride,Cl,2,0.061511085,0.019666298,0.016009003,>=50,X,note: only 2 unique complexity parameters in default grid. Truncating the grid to 2 . (Fold 10)
Glacier National Park,chloride,Cl,3,0.000173956,0.020756001,0.017039821,>=50,X,note: only 2 unique complexity parameters in default grid. Truncating the grid to 2 . (Fold 5)
Glacier National Park,magnesium,Mg,1,0.286459989,2.874115218,2.207691152,>=50,,
Glacier National Park,magnesium,Mg,2,0.3252318,2.906623986,2.252751715,>=50,,
Glacier National Park,magnesium,Mg,3,0.056757435,2.66359585,2.138716337,>=50,,
Glacier National Park,potassium,K,1,0.075669033,0.064791079,0.055379034,>=50,X,note: only 2 unique complexity parameters in default grid. Truncating the grid to 2 . (Fold 3)
Glacier National Park,potassium,K,2,0.036676591,0.064805146,0.055777132,>=50,X,note: only 2 unique complexity parameters in default grid. Truncating the grid to 2 . (Fold 1 and 3)
Glacier National Park,potassium,K,3,0.045884474,0.05629532,0.048838408,>=50,,
Glacier National Park,sio2,SiO2,1,0.003692538,1.596559253,1.323295217,>=50,,
Glacier National Park,sio2,SiO2,2,0.017590584,1.602432631,1.28235602,>=50,,
Glacier National Park,sio2,SiO2,3,0.032237754,1.63495792,1.344133863,>=50,,
Glacier National Park,sodium,Na,1,0.111654471,0.274965618,0.220902676,>=50,,
Glacier National Park,sodium,Na,2,0.123536335,0.291651354,0.24127061,>=50,,
Glacier National Park,sodium,Na,3,0.027673481,0.264076586,0.215412387,>=50,,
Glacier National Park,strontium,Sr,1,0.684905051,0.018635553,0.015988587,>=50,,
Glacier National Park,strontium,Sr,2,0.685869086,0.018546297,0.015851941,>=50,,
Glacier National Park,strontium,Sr,3,0.686854475,0.018229146,0.015531795,>=50,,
Glacier National Park,sulfate,SO4,1,0.247444365,1.379204558,1.099633486,>=50,,
Glacier National Park,sulfate,SO4,2,0.183937864,1.328263945,1.069877262,>=50,,
Glacier National Park,sulfate,SO4,3,0.350402108,1.434094378,1.168658122,>=50,,
Glacier National Park,tds,TDS,1,0.151230427,41.43796442,35.7715869,>=50,,
Glacier National Park,tds,TDS,2,0.076395401,40.34626231,33.88835865,>=50,,
Glacier National Park,tds,TDS,3,0.133379723,41.86453746,35.25477119,>=50,,
Glacier National Park,fi_best,fi,1,0.016428671,0.103206872,0.083283035,>=50,X,note: only 2 unique complexity parameters in default grid. Truncating the grid to 2 . (Fold 3)
Glacier National Park,fi_best,fi,2,0.122921014,0.098251811,0.083400216,>=50,X,note: only 2 unique complexity parameters in default grid. Truncating the grid to 2 . (Fold 3)
Glacier National Park,fi_best,fi,3,0.000189293,0.107763136,0.093638712,>=50,X,note: only 2 unique complexity parameters in default grid. Truncating the grid to 2 . (Fold 3)
