Location,Taxa_Level,Rank,Classification,Mean,Minimum,Maximum,
GNP,Family,1,Flavobacteriaceae,7.34,0.11,24.22,
GNP,Family,2,Comamonadaceae,5.95,0.72,23.75,
GNP,Family,3,Chitinophagaceae,4.51,0.94,13.56,
GNP,Family,4,Sphingomonadaceae,4.23,0.42,8.16,
GNP,Family,5,Proteobacteria_unclassified,3.44,0.00,44.09,
GNP,Family,6,Bacteria_unclassified,2.65,0.20,7.18,
GNP,Family,7,Rhodobacteraceae,2.07,0.21,8.76,
GNP,Family,8,Nitrosomonadaceae,2.03,0.12,6.87,
GNP,Family,9,Oxalobacteraceae,1.76,0.03,10.00,
GNP,Family,10,Microscillaceae,1.66,0.07,4.75,
GNP,Genus,1,Flavobacterium,7.34,0.11,24.22,
GNP,Genus,2,Proteobacteria_unclassified,3.44,0.00,44.09,
GNP,Genus,3,Comamonadaceae_unclassified,2.82,0.50,5.05,
GNP,Genus,4,Bacteria_unclassified,2.65,0.20,7.18,
GNP,Genus,5,Polaromonas,2.38,0.01,15.42,
GNP,Genus,6,Ferruginibacter,2.21,0.36,8.67,
GNP,Genus,7,Tychonema_CCAP_1459-11B,1.32,0.00,6.93,
GNP,Genus,8,Rhodobacteraceae_unclassified,1.27,0.14,6.31,
GNP,Genus,9,Luteolibacter,1.25,0.06,9.21,
GNP,Genus,10,Methylotenera,1.15,0.02,6.87,
